04/08/2018	01:51:00
05/08/2018	00:00:00
06/08/2018	01:45:00
07/08/2018	01:41:00
08/08/2018	01:15:00
09/08/2018	01:02:00
10/08/2018	01:13:00
11/08/2018	00:00:00
12/08/2018	00:00:00
13/08/2018	01:41:00
14/08/2018	01:50:00
15/08/2018	01:09:00
16/08/2018	01:06:00
17/08/2018	00:00:00
18/08/2018	00:00:00
19/08/2018	00:00:00
20/08/2018	00:00:00
21/08/2018	00:00:00
22/08/2018	01:59:00
23/08/2018	01:40:00
24/08/2018	01:33:00
25/08/2018	01:40:00
26/08/2018	01:30:00
27/08/2018	01:15:00
28/08/2018	01:20:00
29/08/2018	01:21:00
30/08/2018	03:40:00
31/08/2018	01:28:00
01/09/2018	01:30:00
02/09/2018	00:38:00
03/09/2018	02:05:00
04/09/2018	01:23:00
05/09/2018	01:43:00
06/09/2018	01:54:00
07/09/2018	01:44:00
08/09/2018	01:43:00
09/09/2018	01:51:00
10/09/2018	01:33:00
11/09/2018	01:28:00
12/09/2018	00:27:00
13/09/2018	03:27:00
14/09/2018	01:32:00
15/09/2018	01:42:00
16/09/2018	01:25:00
17/09/2018	01:14:00
18/09/2018	01:52:00
19/09/2018	01:45:00
20/09/2018	01:33:00
21/09/2018	01:37:00
22/09/2018	01:37:00
23/09/2018	01:42:00
24/09/2018	01:40:00
25/09/2018	00:00:00
26/09/2018	01:54:00
27/09/2018	01:41:00
28/09/2018	01:48:00
29/09/2018	01:55:00
30/09/2018	00:00:00
01/10/2018	01:13:00
02/10/2018	01:58:00
03/10/2018	00:44:00
04/10/2018	03:17:00
05/10/2018	02:04:00
06/10/2018	01:39:00
07/10/2018	01:44:00
08/10/2018	01:35:00
09/10/2018	01:43:00
10/10/2018	01:28:00
11/10/2018	02:40:00
12/10/2018	01:36:00
13/10/2018	01:47:00
14/10/2018	01:32:00
15/10/2018	01:46:00
16/10/2018	02:00:00
17/10/2018	01:37:00
18/10/2018	02:52:00
19/10/2018	01:50:00
20/10/2018	01:35:00
21/10/2018	01:54:00
22/10/2018	00:00:00
23/10/2018	00:00:00
24/10/2018	01:54:00
25/10/2018	00:48:00
26/10/2018	01:54:00
27/10/2018	01:56:00
28/10/2018	01:58:00
29/10/2018	01:42:00
30/10/2018	01:38:00
31/10/2018	02:05:00
01/11/2018	02:51:00
02/11/2018	01:49:00
03/11/2018	01:59:00
04/11/2018	02:02:00
05/11/2018	01:47:00
06/11/2018	01:47:00
07/11/2018	01:48:00
08/11/2018	03:07:00
09/11/2018	02:00:00
10/11/2018	01:52:00
11/11/2018	01:37:00
12/11/2018	01:47:00
13/11/2018	01:46:00
14/11/2018	01:34:00
15/11/2018	02:44:00
16/11/2018	01:31:00
17/11/2018	01:47:00
18/11/2018	01:37:00
19/11/2018	01:45:00
20/11/2018	00:56:00
21/11/2018	01:54:00
22/11/2018	02:32:00
23/11/2018	01:37:00
24/11/2018	00:32:00
25/11/2018	00:00:00
26/11/2018	01:39:00
27/11/2018	01:37:00
28/11/2018	01:50:00
29/11/2018	02:35:00
30/11/2018	01:41:00
01/12/2018	00:40:00
02/12/2018	00:00:00
03/12/2018	02:09:00
04/12/2018	01:10:00
05/12/2018	01:03:00
06/12/2018	00:00:00
07/12/2018	00:00:00
08/12/2018	00:00:00
09/12/2018	00:00:00
10/12/2018	01:32:00
11/12/2018	01:31:00
12/12/2018	01:31:00
13/12/2018	02:42:00
14/12/2018	01:32:00
15/12/2018	01:07:00
16/12/2018	01:40:00
17/12/2018	01:38:00
18/12/2018	01:39:00
19/12/2018	01:38:00
20/12/2018	02:32:00
21/12/2018	00:00:00
22/12/2018	01:32:00
23/12/2018	01:35:00
24/12/2018	01:42:00
25/12/2018	00:00:00
26/12/2018	00:00:00
27/12/2018	00:49:00
28/12/2018	01:35:00
29/12/2018	00:00:00
30/12/2018	00:00:00
31/12/2018	00:00:00
